epoch,train_total,train_recon,val_mae,val_rmse,grad_norm_mean,grad_norm_max,per_coeff_mae_mean,per_coeff_mae_max,gaussian_coverage
1,1.1669495972720059,1.1669495972720059,2.4340498447418213,4.0870068073272705,0.0018988152031734805,0.003193777186204734,2.6160872,5.6032076,100.0
2,1.1672514351931484,1.1672514351931484,2.430370569229126,4.083820581436157,,,2.6124392,5.5972023,
3,1.163142128424211,1.163142128424211,2.4232945442199707,4.0776636600494385,,,2.605457,5.5857205,
4,1.1601509939540515,1.1601509939540515,2.412302613258362,4.067914962768555,,,2.5946107,5.567557,
5,1.1460567712783813,1.1460567712783813,2.3970532417297363,4.054176568984985,,,2.5795481,5.5419044,
6,1.1354667381806807,1.1354667381806807,2.377635359764099,4.036226391792297,,,2.5603418,5.5082417,
7,1.1238042928955772,1.1238042928955772,2.3544419407844543,4.014151334762573,,,2.5375059,5.466507,
8,1.1146729696880688,1.1146729696880688,2.3278533220291138,3.9879813194274902,,,2.5114405,5.416554,
9,1.102177159352736,1.102177159352736,2.2993654012680054,3.958875894546509,,,2.4831274,5.3592224,
10,1.0862347537820989,1.0862347537820989,2.2681522965431213,3.925520896911621,,,2.452135,5.293901,
11,1.065966318954121,1.065966318954121,2.235615849494934,3.889874577522278,,,2.41979,5.221166,
12,1.059121923013167,1.059121923013167,2.203541874885559,3.8529006242752075,,,2.3875809,5.143609,
13,1.0386919921094722,1.0386919921094722,2.1698124408721924,3.813774824142456,,,2.3537204,5.0601335,
14,1.026565356688066,1.026565356688066,2.137334704399109,3.776429295539856,,,2.3215823,4.977718,
15,1.0143244537440212,1.0143244537440212,2.1047985553741455,3.738782286643982,,,2.2892575,4.897003,
16,1.0074131705544211,1.0074131705544211,2.073488235473633,3.702707290649414,,,2.2576125,4.816501,
17,0.9981601129878651,0.9981601129878651,2.0426844358444214,3.665398597717285,,,2.2262514,4.7338414,
18,0.9857405749234286,0.9857405749234286,2.012500047683716,3.628197431564331,,,2.1957498,4.649045,
19,0.969304084777832,0.969304084777832,1.9792004823684692,3.5893266201019287,,,2.1628375,4.5589232,
20,0.9627028053457086,0.9627028053457086,1.9483038783073425,3.55308198928833,,,2.1315243,4.4676204,
21,0.9518616578795693,0.9518616578795693,1.9166602492332458,3.515357494354248,,,2.0996392,4.37268,
22,0.9416597539728339,0.9416597539728339,1.8853417038917542,3.4792325496673584,,,2.0681171,4.273071,
23,0.9389988021417097,0.9389988021417097,1.8537755012512207,3.4421331882476807,,,2.0376635,4.1730957,
24,0.9187310554764487,0.9187310554764487,1.8226836919784546,3.4057719707489014,,,2.0064967,4.069147,
25,0.9106302586468783,0.9106302586468783,1.792276382446289,3.371230363845825,,,1.9755236,3.9647691,
26,0.895122463052923,0.895122463052923,1.7608205676078796,3.3342901468276978,,,1.9436343,3.854689,
27,0.8897031979127363,0.8897031979127363,1.7326022386550903,3.3015732765197754,,,1.9148968,3.749212,
28,0.8776957446878607,0.8776957446878607,1.7050836682319641,3.2712113857269287,,,1.8868753,3.6494265,
29,0.8710187131708319,0.8710187131708319,1.6770930886268616,3.238787591457367,,,1.858116,3.5462892,
30,0.8644336516206915,0.8644336516206915,1.6518408060073853,3.2093560099601746,,,1.833919,3.4494305,
31,0.8536827076565136,0.8536827076565136,1.624580442905426,3.176280379295349,,,1.8058723,3.3513987,
32,0.8415704044428739,0.8415704044428739,1.6018697023391724,3.1508448123931885,,,1.7817988,3.2585769,
33,0.8329288200898604,0.8329288200898604,1.5783265829086304,3.12685227394104,,,1.7577828,3.169406,
34,0.8274637623266741,0.8274637623266741,1.5553078651428223,3.101170599460602,,,1.7343307,3.0803192,
35,0.8163492625409906,0.8163492625409906,1.5324604511260986,3.0740095376968384,,,1.7108909,2.9912457,
36,0.8094384182583202,0.8094384182583202,1.5116331577301025,3.053533375263214,,,1.6895976,2.9097512,
37,0.7955783172087236,0.7955783172087236,1.487591028213501,3.029433012008667,,,1.6633116,2.821511,
38,0.7894113822416826,0.7894113822416826,1.4685478806495667,3.0085476636886597,,,1.6432866,2.7409792,
39,0.7791675871068781,0.7791675871068781,1.4493722319602966,2.987863540649414,,,1.6227332,2.66828,
40,0.770431637763977,0.770431637763977,1.4310520887374878,2.9676279425621033,,,1.6031626,2.5930438,
41,0.7618676369840448,0.7618676369840448,1.4121137857437134,2.9491495490074158,,,1.5822148,2.5207865,
42,0.759388343854384,0.759388343854384,1.396501362323761,2.932166874408722,,,1.5663266,2.4593284,
43,0.7461986704306169,0.7461986704306169,1.3811262249946594,2.914525091648102,,,1.5497808,2.3989048,
44,0.7342451485720548,0.7342451485720548,1.3653457164764404,2.8969942927360535,,,1.5325785,2.3383272,
45,0.7296020280231129,0.7296020280231129,1.353293240070343,2.8797643780708313,,,1.5186716,2.2816865,
46,0.7203871716152538,0.7203871716152538,1.33890300989151,2.863038122653961,,,1.5041139,2.227382,
47,0.7123107368295843,0.7123107368295843,1.324015587568283,2.844567596912384,,,1.4888234,2.1768544,
48,0.6993133967572992,0.6993133967572992,1.3100758790969849,2.827277719974518,,,1.4748503,2.1316183,
49,0.6930040392008695,0.6930040392008695,1.296245038509369,2.8111754059791565,,,1.4593909,2.0891085,
50,0.6836965571750294,0.6836965571750294,1.2887431383132935,2.8005767464637756,0.04790651473643963,0.05586733120040583,1.4498688,2.0456805,
51,0.6718337427486073,0.6718337427486073,1.2730861604213715,2.783442735671997,,,1.4325083,2.0017989,
52,0.6623283245346763,0.6623283245346763,1.2615119814872742,2.76617294549942,,,1.4204112,1.9643325,
53,0.6567957943136041,0.6567957943136041,1.2490587532520294,2.748469054698944,,,1.4065806,1.9248785,
54,0.6474357572468844,0.6474357572468844,1.2410658299922943,2.734686315059662,,,1.3978293,1.8976043,
55,0.6397202394225381,0.6397202394225381,1.2299220263957977,2.7181535363197327,,,1.3844069,1.8704078,
56,0.6367434317415411,0.6367434317415411,1.2204188704490662,2.7033116817474365,,,1.3741246,1.84275,
57,0.6317529028112238,0.6317529028112238,1.2148776352405548,2.6916930079460144,,,1.368279,1.8224322,
58,0.624584821137515,0.624584821137515,1.2042030990123749,2.6746111512184143,,,1.3548133,1.795275,
59,0.6169960552995856,0.6169960552995856,1.1982885599136353,2.659660577774048,,,1.3485459,1.7837206,
60,0.6160947409543124,0.6160947409543124,1.1893562972545624,2.6456141471862793,,,1.3372396,1.7587261,
61,0.6145558628168973,0.6145558628168973,1.1827952563762665,2.633316457271576,,,1.3287005,1.7405422,
62,0.6124481992288069,0.6124481992288069,1.1751839220523834,2.6193042397499084,,,1.3193125,1.7205966,
63,0.602239037101919,0.602239037101919,1.1695184111595154,2.605225443840027,,,1.3126421,1.706929,
64,0.597414187409661,0.597414187409661,1.158448725938797,2.5867233276367188,,,1.300315,1.6786846,
65,0.5949600853703239,0.5949600853703239,1.1603805720806122,2.580026865005493,,,1.2991618,1.6733645,
66,0.5884434445337816,0.5884434445337816,1.148092895746231,2.565136671066284,,,1.2823764,1.6433367,
67,0.5838154473088004,0.5838154473088004,1.1381967961788177,2.5490188598632812,,,1.2718928,1.6178553,
68,0.5769768926230344,0.5769768926230344,1.1334461271762848,2.5352949500083923,,,1.2668002,1.6047237,
69,0.5762660530480471,0.5762660530480471,1.1325161755084991,2.5309629440307617,,,1.2641093,1.5968856,
70,0.5741349187764254,0.5741349187764254,1.1240844428539276,2.518475830554962,,,1.25309,1.5751625,
71,0.569023153998635,0.569023153998635,1.1173402070999146,2.5024460554122925,,,1.2465355,1.5633292,
72,0.5706052455035123,0.5706052455035123,1.1097325682640076,2.489025294780731,,,1.236834,1.5443679,
73,0.560931837016886,0.560931837016886,1.1065163910388947,2.476412773132324,,,1.2333435,1.5289564,
